venue_name,city,neighborhood,event_count,music_genres
"Old Savings Bank","New York",,1,
PH,"New York",,1,Hip-Hop
"PHD Terrace","New York",,1,Hip-Hop
Pachita,"New York",,1,Hip-Hop
"Pando Park Avenue","New York",,1,House
"Paris Cafe","New York",,1,House
"Party on the Paddle Wheel Queen","New York",,1,
"Patrick's","New York",,1,
Pennsylvania,"New York",,1,"Live Music"
Petaluma,"New York",,1,
Pianos,"New York",,1,
"Pioneer Works","New York",,1,
"Planet Hollywood Times Square","New York",,1,
Pranna,"New York",,1,Hip-Hop
Pravda,"New York",,1,"Live Music"
"Premier Hotel Penthouse","New York",,1,House
"Pretty Ricky","New York",,1,
"Printer's Alley","New York",,1,"Live Music"
"Printer's and enjoy a five hour open bar","New York",,1,Reggae
"Public House NYC","New York",,1,House
Queens,"New York",,1,Afrobeats
"Radio City Music Hall","New York",,1,
Rash,"New York",,1,
"Refinery Hotel
Sunday","New York",,1,"Live Music"
Rickey,"New York",,1,
"Riff Raff","New York",,1,House
"Rodney's Comedy Club","New York",,1,R&B
Rogue,"New York",,1,
"Rooftop Bar & Club Lounge","New York",,1,House
"Rosevale Cocktail Lounge","New York",,1,House
Royal,"New York",,1,Hip-Hop
"Royalton Hotel Rooftop","New York",,1,
"STK Meatpacking Rooftop","New York",,1,Hip-Hop
"STK Meatpacking with their numerous VIP specials","New York",,1,
"Salud Soho","New York",,1,"Live Music"
"Santo's Party House","New York",,1,House
"Sapphire Lounge","New York",,1,Hip-Hop
"Se7en Lounge","New York",,1,Afrobeats
"Sea Wolf","New York",,1,Latin
"Seven House Gallery","New York",,1,Afrobeats
"Shay & Ivy","New York",,1,Hip-Hop
"Silver Lining Lounge","New York",,1,"Live Music"
"Sir Henri Rooftop","New York",,1,
"Skinos NYC","New York",,1,Hip-Hop
"Social Club","New York",,1,House
"Somewhere Nowhere NYC","New York",,1,Afrobeats
Space,"New York",,1,EDM
Stage,"New York",,1,EDM
"Stanton Social","New York",,1,
"Starchild Rooftop","New York",,1,House
"Stitch Lounge","New York",,1,
"Sugar Mouse","New York",,1,Latin
"Superior Ingredients Rooftop","New York",,1,House
"Sutton Place has you covered on all three levels","New York",,1,"Live Music"
"Sweetwater Social","New York",,1,Hip-Hop
"TBA - Brooklyn","New York",,1,
"TBA - Downtown NYC","New York",,1,
"TBA - Secret Bushwick Location ","New York",,1,
"TBA - Secret East Williamsburg Locations & Green Room NYC","New York",,1,
"TBA - The Queens Social - 3286 Steinway St Astoria, NY","New York",,1,House
"TBA - The Reserve, 212 E 125th St The Living Room, New York, NY","New York",,1,House
"Tapster Lexington","New York",,1,
"Tavern 29 NYC","New York",,1,House
Tawny,"New York",,1,"Live Music"
Tenjune,"New York",,1,Hip-Hop
"The Ainsworth","New York",,1,House
"The Ainsworth - Midtown","New York",,1,
"The BogArt","New York",,1,"Live Music"
"The Bronze Owl","New York",,1,
"The Bush","New York",,1,
"The DL","New York",,1,
"The Fleur Room",Manhattan,,1,House
"The Forgotten Dreams Supper Club","New York",,1,
"The High Note","New York",,1,"Live Music"
"The House","New York",,1,
"The Lola Hoboken","New York",,1,House
"The Newsroom","New York",,1,Latin
"The Red Pavilion","New York",,1,Afrobeats
"The Saint NYC","New York",,1,
"The Se7en","New York",,1,Afrobeats
"The Vino Theater","New York",,1,R&B
"The trendy eatery","New York",,1,
"This destination hotspot","New York",,1,Hip-Hop
TikiTabu,"New York",,1,
"Time Hotel","New York",,1,"Live Music"
"Tito Murphy's","New York",,1,"Live Music"
UNVEILED,"New York",,1,"Live Music"
"VIRGO
A Seductive","New York",,1,"Live Music"
VNYL,"New York",,1,
"Van Diemens","New York",,1,Hip-Hop
Vandal,"New York",,1,EDM
"Vault Lounge","New York",,1,Afrobeats
Verboten,"New York",,1,
"Versa Rooftop","New York",,1,
Virgo,"New York",,1,
"Viva Toro Nightclub","New York",,1,Latin
"Voted Best Ball Drop Views","New York",,1,House
"Vshow Nightclub","New York",,1,Afrobeats
"Walnut Bar and Grill","New York",,1,House
"Webster Hall","New York",,1,
"White Horse Tavern","New York",,1,House
"Why Sony Hall NYE","New York",,1,"Live Music"
Woodstock,"New York",,1,EDM
XANADU,"New York",,1,Afrobeats
"an NYC staple among A","New York",,1,
"and Marquee","New York",,1,
"and NYE","New York",,1,House
"blends modern elegance with creative flair","New York",,1,House
"capacity limits",Hoboken,,1,House
"elegant Park Avenue Tavern","New York",,1,
"for NYC events","New York",,1,Hip-Hop
"for an equally vibrant crowd","New York",,1,
"g Lounge","New York",,1,House
"has a reputation for serving an A","New York",,1,Hip-Hop
"in the heart of Midtown NYC","New York",,1,"Live Music"
"infused with timeless character","New York",,1,"Live Music"
"into a smoldering affair","New York",,1,"Live Music"
"marries state","New York",,1,House
"on the map","New York",,1,
"on the night of","New York",,1,
"providing all your New Year's needs","New York",,1,House
that,"New York",,1,
"this exclusive subterranean nightclub","New York",,1,
"welcomes you with its own unique vibe","New York",,1,"Live Music"
"with an intimate feel","New York",,1,House
