id,name,category,website,city,address
11117,"Djoliba Restaurant",restaurant,https://www.tiktok.com/@djolibarestaurantphilly?_t=8rgHA8xYvyJ&_r=1,Philadelphia,
11118,"Le Faso",restaurant,"",Philadelphia,
11119,"Aku's Kitchen",restaurant,http://akuskitchen.com/,Philadelphia,
11120,"Palace african restaurant",restaurant,https://order.online/business/palace-african-824073,Philadelphia,
11121,"Almaz Cafe",restaurant,http://almazcafes.com/,Philadelphia,
11122,Abyssinia,restaurant,http://www.abyssiniabarandrestaurant.com/,Philadelphia,
11123,"Kaffa Crossing",restaurant,https://qmenu.us/#/kaffa-crossing-ethiopian,Philadelphia,
11124,"Eshkol Ethiopian Cuisine & Cafe",restaurant,https://eshkolcuisine.com/,Philadelphia,
11125,"Amsale Cafe",restaurant,http://www.amsalecafe.com/,Philadelphia,
11126,Gojjo,restaurant,http://www.gojjo.us/,Philadelphia,
11127,"Queen of Sheba",restaurant,http://queenofshebaphiladelphia.com/,Philadelphia,
11128,"Doro Bet",restaurant,http://dorobetphilly.com/,Philadelphia,
11129,"Alif Brew & Mini Mart Inc.",restaurant,https://www.alifamilyrestaurants.com/,Philadelphia,
11130,ERA,restaurant,https://haklilu.github.io/Era-Bar-and-Restaurant/,Philadelphia,
11131,"Zuzu's Kitchen",restaurant,http://www.zuzuskitchenphilly.com/,Philadelphia,
11132,"Merkato Baltena",restaurant,"",Philadelphia,
11133,"Mixto Restaurante",restaurant,https://mixtorestaurante.com/,Philadelphia,
11134,"Mamajuana Cafe Philly",restaurant,http://www.mamajuanacafephilly.com/,Philadelphia,
11135,LMNO,restaurant,https://lmnophilly.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11136,"El Fogon Latino Restaurant",restaurant,https://order.online/business/el-fogon-latino-restaurant-997026,Philadelphia,
11137,"Restaurante Latino Lela",restaurant,"",Philadelphia,
11138,Bolo,restaurant,https://bolophl.com/,Philadelphia,
11139,"Izlas Puertorican Cuisine",restaurant,https://food.orders.co/izlaslatincuisine,Philadelphia,
11140,"Bar Bombón",restaurant,http://barbombon.com/,Philadelphia,
11141,"DECOO Restaurant",restaurant,"",Philadelphia,
11142,"Paladar Latin Kitchen & 610 SOCIAL Bar + Lounge",restaurant,https://paladarlatinkitchen.com/,Philadelphia,
11143,"Bodega Bar & Kitchen",restaurant,https://bodegaphilly.com/,Philadelphia,
11144,"El Vez",restaurant,https://elvezrestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11145,"Latin American Restaurant",restaurant,https://www.instagram.com/latinamerican1inc/,Philadelphia,
11146,"El Sabor Restaurant",restaurant,https://instagram.com/elsabor.restaurant?utm_medium=copy_link,Philadelphia,
11147,"El Rey",restaurant,http://elreyrestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Philadelphia,
11148,"Fuego Latin Food",restaurant,"",Philadelphia,
11149,"Parada Maimon",restaurant,https://paradamaimon.shop/,Philadelphia,
11150,"El Fuerte de Loreto Philly",restaurant,http://www.elfuertedeloretophilly.com/,Philadelphia,
11151,"South Philly Barbacoa",restaurant,https://chefcristinamartinez.com/restaurantes-y-experiencias/south-philly-barbacoa/,Philadelphia,
11152,"El Chingon Philly",restaurant,https://www.elchingonphilly.com/,Philadelphia,
11153,"Las Bugambilias",restaurant,http://lasbugambiliasphilly.com/,Philadelphia,
11154,"Tu Rinconcito",restaurant,https://turinconcitophilly.com/,Philadelphia,
11155,"Tacoteca Mexican Grill",restaurant,https://tacotecamexicangrill.toast.site/,Philadelphia,
